,n,a,e,completeness,spread
344,5.0,0.8999999999999999,0.0,0.689,0.25
345,6.0,0.8999999999999999,0.0,0.693,0.25
346,7.0,0.8999999999999999,0.0,0.703,0.25
347,8.0,0.8999999999999999,0.0,0.705,0.25
348,9.0,0.8999999999999999,0.0,0.702,0.25
349,10.0,0.8999999999999999,0.0,0.706,0.25
350,1.0,0.8999999999999999,0.0,0.506,0.3
351,2.0,0.8999999999999999,0.0,0.601,0.3
352,3.0,0.8999999999999999,0.0,0.643,0.3
353,4.0,0.8999999999999999,0.0,0.662,0.3
354,5.0,0.8999999999999999,0.0,0.691,0.3
355,6.0,0.8999999999999999,0.0,0.693,0.3
356,7.0,0.8999999999999999,0.0,0.699,0.3
357,8.0,0.8999999999999999,0.0,0.698,0.3
358,9.0,0.8999999999999999,0.0,0.704,0.3
359,10.0,0.8999999999999999,0.0,0.709,0.3
360,1.0,0.8999999999999999,0.0,0.504,0.35000000000000003
361,2.0,0.8999999999999999,0.0,0.603,0.35000000000000003
362,3.0,0.8999999999999999,0.0,0.647,0.35000000000000003
363,4.0,0.8999999999999999,0.0,0.668,0.35000000000000003
364,5.0,0.8999999999999999,0.0,0.694,0.35000000000000003
365,6.0,0.8999999999999999,0.0,0.695,0.35000000000000003
366,7.0,0.8999999999999999,0.0,0.697,0.35000000000000003
367,8.0,0.8999999999999999,0.0,0.701,0.35000000000000003
368,9.0,0.8999999999999999,0.0,0.708,0.35000000000000003
369,10.0,0.8999999999999999,0.0,0.705,0.35000000000000003
370,1.0,0.8999999999999999,0.0,0.501,0.4
371,2.0,0.8999999999999999,0.0,0.595,0.4
372,3.0,0.8999999999999999,0.0,0.645,0.4
373,4.0,0.8999999999999999,0.0,0.664,0.4
374,5.0,0.8999999999999999,0.0,0.692,0.4
375,6.0,0.8999999999999999,0.0,0.694,0.4
376,7.0,0.8999999999999999,0.0,0.702,0.4
377,8.0,0.8999999999999999,0.0,0.701,0.4
378,9.0,0.8999999999999999,0.0,0.699,0.4
379,10.0,0.8999999999999999,0.0,0.705,0.4
380,1.0,0.8999999999999999,0.0,0.504,0.45
381,2.0,0.8999999999999999,0.0,0.599,0.45
382,3.0,0.8999999999999999,0.0,0.645,0.45
383,4.0,0.8999999999999999,0.0,0.665,0.45
384,5.0,0.8999999999999999,0.0,0.692,0.45
385,6.0,0.8999999999999999,0.0,0.696,0.45
386,7.0,0.8999999999999999,0.0,0.698,0.45
387,8.0,0.8999999999999999,0.0,0.7,0.45
388,9.0,0.8999999999999999,0.0,0.703,0.45
389,10.0,0.8999999999999999,0.0,0.712,0.45
390,1.0,0.8999999999999999,0.0,0.51,0.5
391,2.0,0.8999999999999999,0.0,0.599,0.5
392,3.0,0.8999999999999999,0.0,0.648,0.5
393,4.0,0.8999999999999999,0.0,0.669,0.5
394,5.0,0.8999999999999999,0.0,0.69,0.5
395,6.0,0.8999999999999999,0.0,0.695,0.5
396,7.0,0.8999999999999999,0.0,0.688,0.5
397,8.0,0.8999999999999999,0.0,0.701,0.5
398,9.0,0.8999999999999999,0.0,0.712,0.5
399,10.0,0.8999999999999999,0.0,0.715,0.5
400,1.0,0.9999999999999999,0.0,0.494,0.05
401,2.0,0.9999999999999999,0.0,0.599,0.05
402,3.0,0.9999999999999999,0.0,0.646,0.05
403,4.0,0.9999999999999999,0.0,0.657,0.05
404,5.0,0.9999999999999999,0.0,0.693,0.05
405,6.0,0.9999999999999999,0.0,0.695,0.05
406,7.0,0.9999999999999999,0.0,0.7,0.05
407,8.0,0.9999999999999999,0.0,0.708,0.05
408,9.0,0.9999999999999999,0.0,0.708,0.05
409,10.0,0.9999999999999999,0.0,0.71,0.05
410,1.0,0.9999999999999999,0.0,0.496,0.1
411,2.0,0.9999999999999999,0.0,0.597,0.1
412,3.0,0.9999999999999999,0.0,0.646,0.1
413,4.0,0.9999999999999999,0.0,0.666,0.1
414,5.0,0.9999999999999999,0.0,0.687,0.1
415,6.0,0.9999999999999999,0.0,0.688,0.1
416,7.0,0.9999999999999999,0.0,0.696,0.1
417,8.0,0.9999999999999999,0.0,0.703,0.1
418,9.0,0.9999999999999999,0.0,0.703,0.1
419,10.0,0.9999999999999999,0.0,0.705,0.1
420,1.0,0.9999999999999999,0.0,0.497,0.15000000000000002
421,2.0,0.9999999999999999,0.0,0.599,0.15000000000000002
422,3.0,0.9999999999999999,0.0,0.639,0.15000000000000002
423,4.0,0.9999999999999999,0.0,0.663,0.15000000000000002
424,5.0,0.9999999999999999,0.0,0.683,0.15000000000000002
425,6.0,0.9999999999999999,0.0,0.69,0.15000000000000002
426,7.0,0.9999999999999999,0.0,0.696,0.15000000000000002
427,8.0,0.9999999999999999,0.0,0.704,0.15000000000000002
428,9.0,0.9999999999999999,0.0,0.707,0.15000000000000002
429,10.0,0.9999999999999999,0.0,0.713,0.15000000000000002
430,1.0,0.9999999999999999,0.0,0.495,0.2
431,2.0,0.9999999999999999,0.0,0.594,0.2
432,3.0,0.9999999999999999,0.0,0.643,0.2
433,4.0,0.9999999999999999,0.0,0.661,0.2
434,5.0,0.9999999999999999,0.0,0.687,0.2
435,6.0,0.9999999999999999,0.0,0.691,0.2
436,7.0,0.9999999999999999,0.0,0.703,0.2
437,8.0,0.9999999999999999,0.0,0.708,0.2
438,9.0,0.9999999999999999,0.0,0.714,0.2
439,10.0,0.9999999999999999,0.0,0.719,0.2
440,1.0,0.9999999999999999,0.0,0.498,0.25
441,2.0,0.9999999999999999,0.0,0.595,0.25
442,3.0,0.9999999999999999,0.0,0.644,0.25
443,4.0,0.9999999999999999,0.0,0.657,0.25
444,5.0,0.9999999999999999,0.0,0.679,0.25
445,6.0,0.9999999999999999,0.0,0.695,0.25
446,7.0,0.9999999999999999,0.0,0.704,0.25
447,8.0,0.9999999999999999,0.0,0.711,0.25
448,9.0,0.9999999999999999,0.0,0.715,0.25
449,10.0,0.9999999999999999,0.0,0.716,0.25
450,1.0,0.9999999999999999,0.0,0.492,0.3
451,2.0,0.9999999999999999,0.0,0.601,0.3
452,3.0,0.9999999999999999,0.0,0.643,0.3
453,4.0,0.9999999999999999,0.0,0.654,0.3
454,5.0,0.9999999999999999,0.0,0.683,0.3
455,6.0,0.9999999999999999,0.0,0.701,0.3
456,7.0,0.9999999999999999,0.0,0.715,0.3
457,8.0,0.9999999999999999,0.0,0.707,0.3
458,9.0,0.9999999999999999,0.0,0.704,0.3
459,10.0,0.9999999999999999,0.0,0.718,0.3
460,1.0,0.9999999999999999,0.0,0.497,0.35000000000000003
461,2.0,0.9999999999999999,0.0,0.603,0.35000000000000003
462,3.0,0.9999999999999999,0.0,0.644,0.35000000000000003
463,4.0,0.9999999999999999,0.0,0.66,0.35000000000000003
